time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,2.012,9.82,-2.347,-35.191,-1.964,10.682,2.874,-35.191,2.301,9.203,2.157,29.326,11.73,41.056
0.005,2.012,9.628,-2.203,-41.056,-1.916,10.442,2.826,-41.056,2.301,9.635,1.869,35.191,11.73,46.921
0.01,2.012,9.532,-1.916,-41.056,-1.724,9.963,2.587,-41.056,2.301,10.354,1.726,35.191,11.73,46.921
0.015,2.012,9.676,-1.772,-41.056,-1.868,9.388,2.395,-41.056,2.301,10.641,1.294,29.326,5.865,41.056
0.02,1.868,9.772,-1.437,-41.056,-1.629,9.005,2.156,-46.921,2.301,10.641,1.15,23.46,5.865,41.056
0.025,1.916,9.724,-1.198,-41.056,-1.581,8.814,1.82,-41.056,2.301,10.497,1.007,5.865,5.865,35.191
0.03,1.772,9.676,-1.054,-35.191,-1.437,8.814,1.677,-41.056,2.301,10.354,0.863,0.0,11.73,35.191
0.035,1.772,9.532,-0.91,-35.191,-1.437,8.766,1.485,-35.191,2.445,10.066,0.719,-11.73,11.73,35.191
0.04,1.916,9.388,-0.814,-35.191,-1.437,8.622,1.389,-35.191,2.445,9.778,0.575,-17.595,11.73,35.191
0.045,2.06,9.293,-0.671,-29.326,-1.581,8.622,1.293,-35.191,2.445,9.347,0.431,-29.326,11.73,29.326
0.05,2.108,9.245,-0.431,-29.326,-1.868,8.909,1.102,-29.326,2.157,9.203,0.288,-29.326,11.73,29.326
0.055,2.06,9.388,-0.24,-29.326,-2.012,9.341,0.862,-29.326,2.013,9.203,-0.0,-29.326,5.865,23.46
0.06,2.06,9.58,-0.048,-23.46,-2.108,9.963,0.623,-23.46,2.301,9.347,-0.144,-23.46,0.0,23.46
0.065,2.203,9.915,0.144,-17.595,-2.299,10.394,0.431,-17.595,2.588,9.778,-0.288,-17.595,0.0,23.46
0.07,2.347,10.251,0.24,-17.595,-2.251,10.825,0.335,-17.595,2.732,10.066,-0.0,-5.865,-5.865,23.46
0.075,2.539,10.49,0.096,-23.46,-2.395,11.017,0.335,-17.595,2.876,10.066,0.144,0.0,-5.865,29.326
0.08,2.635,10.634,-0.096,-23.46,-2.491,11.113,0.527,-23.46,3.02,9.778,0.144,0.0,-11.73,35.191
0.085,2.635,10.49,-0.144,-35.191,-2.491,11.113,0.623,-29.326,2.876,9.491,-0.0,5.865,-11.73,46.921
0.09,2.635,10.107,-0.096,-41.056,-2.395,10.825,0.623,-41.056,2.876,8.916,-0.144,5.865,-11.73,52.786
0.095,2.682,9.58,0.144,-52.786,-2.443,10.346,0.479,-46.921,2.732,8.628,-0.288,17.595,-17.595,64.516
0.1,2.539,9.101,0.24,-58.651,-2.443,9.82,0.287,-58.651,2.445,8.34,-0.431,23.46,-17.595,70.381
0.105,2.299,8.718,0.335,-64.516,-2.347,9.245,0.24,-64.516,2.301,8.34,-0.431,23.46,-23.46,76.246
0.11,2.251,8.383,0.431,-70.381,-2.347,8.67,0.144,-70.381,2.157,8.197,-0.288,23.46,-23.46,76.246
0.115,2.203,8.143,0.335,-76.246,-2.299,8.239,0.144,-76.246,2.157,8.34,-0.0,23.46,-29.326,76.246
0.12,2.156,8.047,0.192,-76.246,-2.299,7.904,0.287,-76.246,2.445,8.34,-0.0,23.46,-35.191,76.246
0.125,2.251,7.999,0.048,-76.246,-2.299,7.712,0.383,-76.246,2.876,8.34,-0.0,17.595,-35.191,70.381
0.13,2.395,7.951,-0.048,-70.381,-2.156,7.616,0.527,-70.381,3.02,8.34,0.144,5.865,-35.191,58.651
0.135,2.539,7.856,-0.192,-64.516,-2.156,7.472,0.623,-64.516,3.164,8.34,0.288,5.865,-35.191,58.651
0.14,2.587,7.76,-0.287,-58.651,-2.251,7.233,0.814,-64.516,3.164,7.909,0.288,0.0,-35.191,52.786
0.145,2.587,7.568,-0.335,-52.786,-2.203,7.137,0.91,-52.786,3.164,7.765,0.144,-5.865,-35.191,46.921
0.15,2.635,7.281,-0.192,-46.921,-2.156,6.898,0.814,-52.786,3.164,7.478,-0.0,-17.595,-29.326,46.921
0.155,2.778,7.041,0.0,-41.056,-2.395,6.562,0.623,-46.921,3.02,7.19,-0.288,-17.595,-29.326,41.056
0.16,2.73,6.802,0.192,-41.056,-2.587,6.371,0.431,-46.921,2.732,6.902,-0.575,-29.326,-29.326,41.056
0.165,2.635,6.562,0.431,-35.191,-2.682,6.179,0.24,-41.056,2.588,6.759,-0.719,-29.326,-35.191,35.191
0.17,2.443,6.371,0.623,-35.191,-2.635,5.988,0.0,-35.191,2.445,6.615,-0.575,-35.191,-35.191,29.326
0.17500000000000002,2.299,6.371,0.623,-29.326,-2.347,5.988,-0.096,-35.191,2.445,6.759,-0.431,-41.056,-35.191,23.46
0.18,2.347,6.467,0.479,-23.46,-2.347,6.179,-0.048,-29.326,2.588,6.759,-0.0,-41.056,-41.056,23.46
0.185,2.443,6.706,0.192,-17.595,-2.443,6.467,0.192,-23.46,2.732,6.759,0.288,-41.056,-46.921,17.595
0.19,2.587,6.898,-0.192,-17.595,-2.539,6.85,0.527,-17.595,2.876,6.902,0.575,-41.056,-46.921,11.73
0.195,2.73,7.041,-0.431,-11.73,-2.73,7.089,0.814,-11.73,3.164,6.902,0.575,-41.056,-52.786,11.73
0.2,2.874,7.137,-0.527,-11.73,-2.874,7.329,1.006,-11.73,3.307,7.046,0.575,-41.056,-52.786,11.73
0.20500000000000002,2.97,7.137,-0.527,-11.73,-2.826,7.281,1.006,-11.73,3.164,7.046,0.575,-41.056,-52.786,11.73
0.21,2.922,7.137,-0.527,-11.73,-2.778,7.185,1.006,-11.73,3.02,7.046,0.575,-35.191,-52.786,17.595
0.215,2.778,7.089,-0.527,-17.595,-2.778,7.041,1.054,-11.73,2.876,6.471,0.719,-41.056,-58.651,23.46
0.22,2.73,6.898,-0.623,-17.595,-2.73,6.993,1.054,-17.595,2.876,5.321,1.438,-35.191,-58.651,23.46
0.225,2.874,6.323,-1.102,-23.46,-2.874,7.041,1.341,-17.595,2.732,4.745,2.013,-29.326,-64.516,29.326
0.23,2.97,5.892,-1.82,-29.326,-3.305,7.089,1.964,-29.326,2.732,5.177,2.013,-17.595,-70.381,35.191
0.23500000000000001,2.682,5.652,-2.012,-35.191,-3.161,6.754,2.539,-35.191,2.732,5.321,1.869,-11.73,-76.246,35.191
0.24,2.635,5.509,-1.772,-35.191,-2.682,6.083,2.443,-35.191,3.02,5.033,1.726,-5.865,-76.246,29.326
0.245,2.778,5.221,-1.677,-29.326,-2.73,5.604,2.203,-35.191,3.02,4.745,1.869,-5.865,-82.111,29.326
0.25,2.778,4.934,-1.772,-29.326,-2.826,5.221,2.203,-29.326,2.732,5.033,2.157,0.0,-82.111,23.46
0.255,2.635,4.79,-2.012,-23.46,-2.443,5.03,2.395,-23.46,3.02,5.177,2.588,0.0,-82.111,17.595
0.26,2.395,4.982,-2.491,-17.595,-2.443,4.79,2.73,-23.46,3.595,5.608,3.307,0.0,-82.111,11.73
0.265,2.682,5.317,-3.114,-11.73,-1.868,5.077,3.353,-17.595,4.17,5.896,3.883,0.0,-76.246,0.0
