time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,3.593,9.053,0.383,-5.865,-2.299,9.388,-0.048,0.0,3.451,9.203,-0.288,-41.056,29.326,5.865
0.005,3.545,9.149,0.383,-0.0,-2.251,9.388,-0.096,5.865,3.451,9.059,-0.288,-41.056,29.326,5.865
0.01,3.449,9.293,0.431,-0.0,-2.251,9.484,-0.144,5.865,3.451,9.203,-0.288,-46.921,29.326,5.865
0.015,3.353,9.436,0.527,5.865,-2.203,9.532,-0.192,5.865,3.307,9.347,-0.288,-46.921,29.326,0.0
0.02,3.257,9.484,0.527,5.865,-2.108,9.532,-0.144,5.865,3.164,9.491,-0.431,-46.921,35.191,-5.865
0.025,3.257,9.532,0.623,11.73,-2.012,9.676,-0.287,11.73,3.02,9.635,-0.431,-46.921,35.191,-11.73
0.03,3.305,9.532,0.719,11.73,-1.916,9.915,-0.527,11.73,3.164,9.635,-0.575,-46.921,35.191,-11.73
0.035,3.209,9.772,0.766,11.73,-1.964,9.82,-0.479,11.73,3.164,9.635,-0.719,-52.786,35.191,-11.73
0.04,3.161,9.915,0.719,11.73,-1.916,9.867,-0.479,11.73,3.02,10.066,-0.719,-52.786,35.191,-11.73
0.045,3.114,9.963,0.719,11.73,-1.82,9.963,-0.479,11.73,3.02,10.066,-0.719,-52.786,35.191,-11.73
0.05,3.066,10.011,0.766,17.595,-1.772,9.963,-0.479,11.73,3.02,10.21,-0.719,-52.786,35.191,-17.595
0.055,3.114,10.059,0.766,17.595,-1.677,10.011,-0.479,11.73,3.02,10.354,-0.719,-46.921,35.191,-17.595
0.06,3.114,10.059,0.766,17.595,-1.629,10.059,-0.479,11.73,2.876,10.354,-0.719,-46.921,35.191,-17.595
0.065,3.018,10.059,0.814,11.73,-1.629,10.107,-0.479,11.73,2.876,10.354,-0.719,-46.921,29.326,-17.595
0.07,2.97,10.059,0.766,11.73,-1.581,10.059,-0.479,11.73,2.876,10.354,-0.719,-46.921,29.326,-11.73
0.075,2.922,10.155,0.671,11.73,-1.533,10.059,-0.431,11.73,2.876,10.354,-0.719,-46.921,29.326,-11.73
0.08,2.922,10.203,0.719,11.73,-1.533,10.155,-0.431,11.73,2.732,10.354,-0.719,-46.921,29.326,-11.73
0.085,2.922,10.203,0.719,11.73,-1.533,10.155,-0.431,11.73,2.732,10.354,-0.575,-46.921,29.326,-11.73
