time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,-2.97,7.089,-6.754,-17.595,2.922,6.802,7.089,-17.595,3.451,7.478,-7.334,93.842,35.191,-23.46
0.005,-2.97,6.993,-6.562,-17.595,3.066,6.323,6.946,-17.595,3.451,7.621,-7.19,93.842,35.191,-23.46
0.01,-2.922,6.802,-6.467,-17.595,3.066,5.94,6.898,-17.595,3.307,7.621,-7.046,99.707,35.191,-17.595
0.015,-2.97,6.61,-6.371,-17.595,3.066,5.796,6.85,-11.73,3.307,7.478,-7.046,105.572,35.191,-17.595
0.02,-2.97,6.419,-6.371,-11.73,3.114,5.796,6.85,-11.73,3.307,7.19,-7.046,117.302,35.191,-11.73
0.025,-2.922,6.323,-6.371,-11.73,3.066,6.035,6.754,-5.865,3.164,7.046,-7.046,123.167,35.191,-11.73
0.03,-2.922,6.275,-6.323,-5.865,3.018,6.275,6.658,0.0,3.164,6.759,-6.902,129.032,35.191,-5.865
0.035,-2.874,6.275,-6.179,-0.0,3.066,6.467,6.562,5.865,3.164,6.615,-6.902,134.897,41.056,0.0
0.04,-2.874,6.419,-6.083,5.865,3.018,6.802,6.371,5.865,3.164,6.759,-6.759,134.897,41.056,0.0
0.045,-2.922,6.658,-5.892,5.865,3.114,7.233,6.179,11.73,3.164,6.902,-6.615,140.762,41.056,5.865
0.05,-3.066,6.993,-5.7,11.73,3.114,7.712,5.892,11.73,3.451,7.046,-6.471,140.762,41.056,5.865
0.055,-3.066,7.329,-5.461,11.73,3.114,7.951,5.748,17.595,3.451,7.334,-6.183,134.897,41.056,11.73
0.06,-3.066,7.568,-5.317,11.73,3.161,8.143,5.556,11.73,3.451,7.765,-6.04,134.897,41.056,11.73
0.065,-3.114,7.76,-5.173,11.73,3.257,8.239,5.413,11.73,3.595,7.909,-5.752,134.897,41.056,11.73
0.07,-3.161,7.808,-4.982,5.865,3.257,8.287,5.317,5.865,3.595,7.909,-5.608,129.032,41.056,5.865
0.075,-3.257,7.76,-4.886,5.865,3.353,8.287,5.173,5.865,3.739,7.765,-5.608,129.032,41.056,5.865
0.08,-3.401,7.712,-4.742,5.865,3.449,8.287,5.03,5.865,3.883,7.765,-5.464,123.167,41.056,5.865
0.085,-3.497,7.808,-4.598,-0.0,3.545,8.287,4.934,5.865,4.026,7.909,-5.321,123.167,41.056,0.0
0.09,-3.64,7.904,-4.551,-0.0,3.593,8.239,4.838,5.865,4.17,8.053,-5.177,117.302,41.056,0.0
0.095,-3.593,8.047,-4.407,5.865,3.64,8.143,4.742,5.865,4.17,8.34,-5.033,117.302,35.191,0.0
0.1,-3.593,8.095,-4.311,5.865,3.545,8.239,4.694,5.865,4.026,8.484,-4.889,117.302,35.191,0.0
0.105,-3.449,8.191,-4.263,5.865,3.449,8.478,4.598,5.865,3.883,8.484,-4.889,117.302,35.191,5.865
0.11,-3.353,8.287,-4.215,5.865,3.401,8.766,4.503,5.865,3.739,8.484,-4.889,117.302,35.191,5.865
0.115,-3.353,8.43,-4.024,5.865,3.305,9.053,4.263,5.865,3.883,8.484,-4.602,117.302,35.191,5.865
0.12,-3.305,8.574,-3.784,5.865,3.257,9.293,3.976,5.865,3.739,8.628,-4.458,117.302,35.191,0.0
0.125,-3.257,8.67,-3.545,5.865,3.161,9.245,3.784,5.865,3.739,8.628,-4.17,111.437,29.326,0.0
0.13,-3.257,8.67,-3.353,-0.0,3.161,8.957,3.64,5.865,3.883,8.772,-3.883,111.437,29.326,0.0
0.135,-3.114,8.622,-3.209,-0.0,3.066,8.862,3.497,0.0,3.595,8.772,-3.739,105.572,29.326,0.0
0.14,-3.018,8.574,-3.066,-0.0,2.97,8.766,3.401,0.0,3.595,8.772,-3.739,99.707,29.326,0.0
0.145,-2.922,8.478,-2.97,-0.0,2.874,8.574,3.257,0.0,3.307,8.628,-3.451,99.707,23.46,0.0
0.15,-2.826,8.383,-2.826,-0.0,2.778,8.191,3.209,0.0,3.307,8.628,-3.451,99.707,23.46,0.0
0.155,-2.73,8.143,-2.73,-0.0,2.73,7.76,3.114,0.0,3.164,8.484,-3.307,99.707,23.46,0.0
0.16,-2.587,7.951,-2.682,-0.0,2.682,7.616,3.066,0.0,2.876,8.484,-3.307,99.707,23.46,-5.865
0.165,-2.539,7.808,-2.587,-0.0,2.635,7.664,3.018,0.0,2.876,8.34,-3.164,105.572,23.46,0.0
