Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,14,11982,12117,59.910000000000004,60.585,1
L,9,12102,12254,60.51,61.27,1
R,15,12227,12353,61.135,61.765,1
L,10,12341,12483,61.705,62.415,1
R,16,12464,12586,62.32,62.93,1
L,11,12575,12724,62.875,63.620000000000005,1
R,17,12701,12825,63.505,64.125,1
L,12,12813,12961,64.065,64.805,1
R,18,12942,13072,64.71000000000001,65.36,1
L,13,13059,13213,65.295,66.065,1
R,19,13190,13318,65.95,66.59,1
L,14,13307,13452,66.535,67.26,1
R,20,13432,13557,67.16,67.785,1
L,15,13545,13695,67.725,68.47500000000001,1
R,21,13669,13795,68.345,68.97500000000001,1
L,16,13784,13933,68.92,69.665,1
R,22,13910,14035,69.55,70.175,1
L,17,14019,14173,70.095,70.865,1
R,23,14149,14274,70.745,71.37,1
L,18,14260,14409,71.3,72.045,1
R,24,14385,14508,71.925,72.54,1
L,19,14496,14645,72.48,73.22500000000001,1
R,25,14623,14749,73.115,73.745,1
L,20,14739,14893,73.69500000000001,74.465,1
R,26,14867,14995,74.33500000000001,74.97500000000001,1
L,21,14986,15140,74.93,75.7,1
R,27,15120,15240,75.60000000000001,76.2,1
L,22,15228,15372,76.14,76.86,1
R,28,15348,15476,76.74,77.38,1
L,23,15464,15622,77.32000000000001,78.11,1
R,29,15589,15724,77.94500000000001,78.62,1
L,24,15711,15864,78.555,79.32000000000001,1
R,30,15841,15977,79.205,79.885,1
L,25,15962,16127,79.81,80.635,1
R,31,16098,16236,80.49,81.18,1
L,26,16223,16383,81.115,81.915,1
R,32,16355,16487,81.775,82.435,1
L,27,16474,16625,82.37,83.125,1
R,33,16604,16734,83.02,83.67,1
L,28,16722,16879,83.61,84.395,1
R,34,16852,16986,84.26,84.93,1
L,29,16973,17141,84.865,85.705,1
R,39,19757,19889,98.785,99.44500000000001,2
L,34,19874,20033,99.37,100.165,2
R,40,20006,20135,100.03,100.675,2
L,35,20124,20279,100.62,101.395,2
R,41,20254,20380,101.27,101.9,2
L,36,20371,20527,101.855,102.635,2
R,42,20501,20630,102.505,103.15,2
L,37,20621,20782,103.105,103.91,2
R,43,20752,20886,103.76,104.43,2
L,38,20876,21039,104.38,105.19500000000001,2
R,44,21013,21144,105.065,105.72,2
L,39,21134,21291,105.67,106.455,2
R,45,21266,21394,106.33,106.97,2
L,40,21384,21546,106.92,107.73,2
R,46,21518,21651,107.59,108.255,2
L,41,21639,21800,108.19500000000001,109.0,2
R,47,21774,21902,108.87,109.51,2
L,42,21890,22049,109.45,110.245,2
R,48,22018,22162,110.09,110.81,2
L,43,22148,22296,110.74000000000001,111.48,2
R,49,22275,22404,111.375,112.02,2
L,44,22397,22557,111.985,112.785,2
R,50,22533,22657,112.665,113.285,2
L,45,22653,22809,113.265,114.045,2
R,51,22785,22924,113.925,114.62,2
L,46,22909,23070,114.545,115.35000000000001,2
R,52,23047,23179,115.235,115.895,2
L,47,23166,23322,115.83,116.61,2
R,53,23297,23436,116.485,117.18,2
L,48,23423,23581,117.11500000000001,117.905,2
R,54,23554,23686,117.77,118.43,2
L,49,23674,23830,118.37,119.15,2
R,55,23801,23937,119.005,119.685,2
L,50,23923,24086,119.61500000000001,120.43,2
