time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,1.245,-1.293,10.538,-23.46,-1.245,-1.868,-10.155,-17.595,1.15,-1.294,-10.641,70.381,23.46,23.46
0.005,1.198,-1.198,10.586,-23.46,-1.198,-1.772,-10.155,-17.595,1.15,-1.294,-10.641,70.381,29.326,23.46
0.01,1.15,-1.054,10.634,-23.46,-1.15,-1.677,-10.251,-23.46,1.15,-1.007,-10.785,76.246,29.326,23.46
0.015,1.054,-0.958,10.634,-29.326,-1.102,-1.581,-10.299,-23.46,1.007,-0.863,-10.785,76.246,29.326,29.326
0.02,0.958,-0.862,10.634,-29.326,-1.054,-1.533,-10.299,-29.326,0.863,-0.863,-10.785,82.111,35.191,29.326
0.025,0.958,-0.814,10.682,-29.326,-0.958,-1.341,-10.251,-29.326,0.863,-0.863,-10.785,82.111,35.191,29.326
0.03,0.958,-0.814,10.73,-29.326,-0.91,-1.245,-10.346,-29.326,0.863,-0.863,-10.929,87.977,41.056,35.191
0.035,0.958,-0.719,10.73,-29.326,-0.91,-1.15,-10.394,-29.326,1.007,-0.863,-10.929,87.977,41.056,29.326
0.04,1.006,-0.719,10.73,-29.326,-0.862,-1.054,-10.346,-29.326,1.007,-0.719,-10.929,87.977,41.056,29.326
0.045,1.054,-0.623,10.682,-35.191,-0.958,-1.15,-10.394,-29.326,1.007,-0.719,-10.929,93.842,41.056,35.191
0.05,0.958,-0.623,10.682,-35.191,-1.054,-1.054,-10.299,-35.191,1.007,-0.719,-10.785,93.842,41.056,35.191
0.055,0.958,-0.527,10.825,-35.191,-0.91,-1.006,-10.346,-35.191,1.007,-0.719,-10.929,93.842,46.921,35.191
0.06,0.91,-0.335,10.921,-35.191,-0.91,-0.862,-10.49,-35.191,0.863,-0.431,-11.073,93.842,46.921,35.191
0.065,0.814,-0.192,11.017,-35.191,-0.91,-0.671,-10.538,-35.191,0.863,-0.431,-11.216,93.842,46.921,35.191
0.07,0.766,0.0,11.113,-35.191,-0.766,-0.479,-10.634,-35.191,0.863,-0.288,-11.216,99.707,46.921,35.191
0.075,0.766,0.192,11.161,-35.191,-0.766,-0.287,-10.778,-35.191,0.863,0.0,-11.36,99.707,52.786,35.191
0.08,0.623,0.335,11.161,-35.191,-0.766,-0.144,-10.825,-35.191,0.719,0.144,-11.36,99.707,52.786,35.191
0.085,0.575,0.383,11.209,-35.191,-0.671,0.048,-10.778,-35.191,0.575,0.144,-11.36,99.707,52.786,35.191
0.09,0.527,0.383,11.209,-35.191,-0.527,0.192,-10.873,-35.191,0.431,0.144,-11.36,99.707,58.651,35.191
