Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,11,12006,12134,60.03,60.67,2
L,14,12125,12241,60.625,61.205,2
R,12,12221,12343,61.105000000000004,61.715,2
L,15,12334,12446,61.67,62.230000000000004,2
R,13,12426,12546,62.13,62.730000000000004,2
L,16,12536,12646,62.68,63.230000000000004,2
R,14,12628,12746,63.14,63.730000000000004,2
L,17,12738,12847,63.690000000000005,64.235,2
R,15,12830,12949,64.15,64.745,2
L,18,12942,13050,64.71000000000001,65.25,2
R,16,13032,13154,65.16,65.77,2
L,19,13142,13256,65.71000000000001,66.28,2
R,17,13237,13355,66.185,66.775,2
L,20,13347,13451,66.735,67.255,2
R,18,13438,13553,67.19,67.765,2
L,21,13544,13654,67.72,68.27,2
R,19,13635,13759,68.175,68.795,2
L,22,13748,13856,68.74,69.28,2
R,20,13839,13962,69.19500000000001,69.81,2
L,23,13949,14058,69.745,70.29,2
R,21,14042,14162,70.21000000000001,70.81,2
L,24,14154,14262,70.77,71.31,2
R,22,14245,14365,71.22500000000001,71.825,2
L,25,14357,14467,71.785,72.33500000000001,2
R,23,14449,14570,72.245,72.85000000000001,2
L,26,14559,14671,72.795,73.355,2
R,24,14655,14780,73.275,73.9,2
L,27,14769,14882,73.845,74.41,2
R,29,16903,17029,84.515,85.145,3
L,32,17017,17126,85.08500000000001,85.63,3
R,30,17111,17228,85.555,86.14,3
L,33,17219,17325,86.095,86.625,3
R,31,17309,17427,86.545,87.135,3
L,34,17416,17525,87.08,87.625,3
R,32,17507,17628,87.535,88.14,3
L,35,17621,17729,88.105,88.645,3
R,33,17712,17834,88.56,89.17,3
L,36,17824,17938,89.12,89.69,3
R,34,17919,18041,89.595,90.205,3
L,37,18032,18135,90.16,90.675,3
R,35,18122,18240,90.61,91.2,3
L,38,18231,18344,91.155,91.72,3
R,36,18324,18444,91.62,92.22,3
L,39,18435,18542,92.175,92.71000000000001,3
R,37,18527,18649,92.635,93.245,3
L,40,18640,18754,93.2,93.77,3
R,38,18734,18855,93.67,94.275,3
L,41,18847,18956,94.235,94.78,3
R,39,18939,19059,94.69500000000001,95.295,3
L,42,19051,19162,95.255,95.81,3
R,40,19145,19268,95.72500000000001,96.34,3
L,43,19258,19365,96.29,96.825,3
R,41,19351,19472,96.755,97.36,3
L,44,19460,19574,97.3,97.87,3
R,42,19554,19675,97.77,98.375,3
L,45,19667,19779,98.33500000000001,98.895,3
R,43,19763,19902,98.815,99.51,3
R,47,23349,23470,116.745,117.35000000000001,4
L,52,23461,23574,117.305,117.87,4
R,48,23554,23673,117.77,118.36500000000001,4
L,53,23662,23772,118.31,118.86,4
R,49,23755,23876,118.775,119.38,4
L,54,23867,23978,119.33500000000001,119.89,4
R,50,23960,24076,119.8,120.38,4
L,55,24068,24177,120.34,120.885,4
R,51,24160,24284,120.8,121.42,4
L,56,24276,24384,121.38,121.92,4
R,52,24367,24493,121.83500000000001,122.465,4
L,57,24484,24595,122.42,122.97500000000001,4
R,53,24576,24700,122.88,123.5,4
L,58,24689,24797,123.44500000000001,123.985,4
R,54,24781,24902,123.905,124.51,4
L,59,24895,25000,124.47500000000001,125.0,4
R,55,24988,25104,124.94,125.52,4
L,60,25096,25208,125.48,126.04,4
R,56,25188,25311,125.94,126.555,4
L,61,25300,25414,126.5,127.07000000000001,4
R,57,25394,25516,126.97,127.58,4
L,62,25506,25628,127.53,128.14000000000001,4
R,58,25603,25729,128.01500000000001,128.645,4
L,63,25721,25828,128.605,129.14000000000001,4
R,59,25812,25941,129.06,129.705,4
L,64,25931,26039,129.655,130.195,4
R,60,26024,26155,130.12,130.775,4
L,65,26142,26256,130.71,131.28,4
R,65,28131,28253,140.655,141.26500000000001,5
L,71,28242,28353,141.21,141.76500000000001,5
R,66,28337,28458,141.685,142.29,5
L,72,28447,28552,142.235,142.76,5
R,67,28540,28660,142.70000000000002,143.3,5
L,73,28649,28759,143.245,143.79500000000002,5
R,68,28742,28863,143.71,144.315,5
L,74,28853,28958,144.26500000000001,144.79,5
R,69,28943,29066,144.715,145.33,5
L,75,29057,29164,145.285,145.82,5
R,70,29149,29271,145.745,146.355,5
L,76,29262,29368,146.31,146.84,5
R,71,29354,29479,146.77,147.395,5
L,77,29467,29572,147.335,147.86,5
R,72,29558,29681,147.79,148.405,5
L,78,29671,29778,148.355,148.89000000000001,5
R,73,29763,29880,148.815,149.4,5
L,79,29871,29979,149.355,149.895,5
R,74,29964,30091,149.82,150.455,5
L,80,30076,30183,150.38,150.915,5
R,75,30168,30289,150.84,151.445,5
L,81,30277,30387,151.385,151.935,5
R,76,30371,30491,151.855,152.455,5
L,82,30480,30589,152.4,152.945,5
R,77,30573,30700,152.865,153.5,5
L,83,30689,30796,153.445,153.98,5
R,78,30782,30904,153.91,154.52,5
L,84,30895,31005,154.475,155.025,5
R,79,30988,31122,154.94,155.61,5
L,85,31110,31219,155.55,156.095,5
