Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,33,12223,,61.115,,15
L,34,12326,,61.63,,15
R,35,12427,,62.135,,15
L,36,12527,,62.635,,15
R,37,12627,,63.135,,15
L,38,12729,,63.645,,15
R,39,12831,,64.155,,15
L,40,12932,,64.66,,15
R,41,13032,,65.16,,15
L,42,13133,,65.665,,15
R,43,13236,,66.18,,15
L,44,13337,,66.685,,15
L,45,13437,,67.185,,15
R,46,13534,,67.67,,15
L,47,13636,,68.18,,15
R,48,13738,,68.69,,15
L,49,13838,,69.19,,15
R,50,13941,,69.705,,15
L,51,14042,,70.21000000000001,,15
R,52,14145,,70.72500000000001,,15
L,53,14246,,71.23,,15
L,54,14349,,71.745,,15
L,71,17210,,86.05,,19
R,72,17308,,86.54,,19
L,73,17408,,87.04,,19
L,74,17508,,87.54,,19
R,75,17612,,88.06,,19
L,76,17713,,88.565,,19
L,77,17815,,89.075,,19
R,78,17919,,89.595,,19
L,79,18023,,90.115,,19
R,80,18122,,90.61,,19
L,81,18223,,91.115,,19
R,82,18324,,91.62,,19
L,83,18427,,92.135,,19
R,84,18527,,92.635,,19
L,85,18631,,93.155,,19
R,86,18735,,93.675,,19
L,87,18838,,94.19,,19
L,88,18940,,94.7,,19
R,89,19042,,95.21000000000001,,19
L,90,19147,,95.735,,19
R,91,19250,,96.25,,19
L,92,19350,,96.75,,19
R,109,23554,,117.77,,23
L,110,23654,,118.27,,23
R,111,23756,,118.78,,23
L,112,23858,,119.29,,23
R,113,23960,,119.8,,23
L,114,24059,,120.295,,23
L,115,24161,,120.805,,23
R,116,24266,,121.33,,23
L,117,24368,,121.84,,23
R,118,24473,,122.36500000000001,,23
L,119,24577,,122.885,,23
R,120,24681,,123.405,,23
L,121,24782,,123.91,,23
R,122,24886,,124.43,,23
L,123,24987,,124.935,,23
R,124,25086,,125.43,,23
L,125,25189,,125.94500000000001,,23
R,126,25292,,126.46000000000001,,23
L,127,25394,,126.97,,23
L,128,25497,,127.485,,23
R,129,25604,,128.02,,23
L,130,25713,,128.565,,23
R,147,28337,,141.685,,26
L,148,28439,,142.195,,26
R,149,28538,,142.69,,26
L,150,28641,,143.205,,26
R,151,28742,,143.71,,26
L,152,28845,,144.225,,26
L,153,28943,,144.715,,26
R,154,29048,,145.24,,26
L,155,29149,,145.745,,26
R,156,29253,,146.26500000000001,,26
L,157,29353,,146.76500000000001,,26
L,158,29459,,147.29500000000002,,26
R,159,29558,,147.79,,26
L,160,29663,,148.315,,26
R,161,29762,,148.81,,26
L,162,29863,,149.315,,26
R,163,29964,,149.82,,26
L,164,30069,,150.345,,26
R,165,30167,,150.835,,26
L,166,30268,,151.34,,26
R,167,30371,,151.855,,26
L,168,30473,,152.365,,26
L,169,30574,,152.87,,26
