time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,-2.06,8.67,7.185,-11.73,-1.533,8.909,6.946,17.595,2.588,8.628,6.327,-29.326,41.056,-11.73
0.005,-1.629,8.478,7.137,-5.865,-1.102,8.526,7.041,5.865,1.726,8.484,6.615,-29.326,41.056,-11.73
0.01,-1.341,8.383,6.946,-0.0,-1.15,8.766,6.898,5.865,1.582,8.34,6.471,-29.326,46.921,-5.865
0.015,-1.245,8.43,6.754,-0.0,-0.958,8.718,6.706,5.865,1.582,8.916,6.183,-29.326,52.786,0.0
0.02,-1.245,8.335,6.658,-0.0,-0.958,8.478,6.61,5.865,1.438,8.484,6.04,-23.46,52.786,0.0
0.025,-1.389,8.239,6.323,-0.0,-1.198,8.43,6.323,5.865,1.726,8.197,5.896,-23.46,58.651,0.0
0.03,-1.389,8.047,6.179,-0.0,-1.198,8.239,6.083,5.865,1.726,8.197,5.608,-23.46,58.651,0.0
0.035,-1.198,7.856,6.131,-0.0,-1.054,8.047,6.131,5.865,1.726,7.909,5.464,-23.46,58.651,0.0
0.04,-1.15,7.76,5.94,-0.0,-0.958,7.999,5.94,5.865,1.726,7.909,5.464,-23.46,58.651,0.0
0.045,-1.054,7.664,5.892,-0.0,-0.91,7.856,5.796,5.865,1.582,7.765,5.177,-23.46,64.516,0.0
0.05,-1.198,7.616,5.748,-5.865,-1.054,7.808,5.7,5.865,1.726,7.621,5.177,-23.46,64.516,0.0
0.055,-1.293,7.76,5.652,-5.865,-1.102,7.808,5.604,11.73,1.869,7.621,5.033,-23.46,64.516,-5.865
0.06,-1.341,7.712,5.604,-11.73,-1.15,7.76,5.509,11.73,1.726,7.478,4.889,-23.46,58.651,-5.865
0.065,-1.245,7.712,5.556,-11.73,-1.15,7.856,5.556,11.73,1.726,7.621,4.889,-23.46,64.516,-11.73
0.07,-1.198,7.712,5.7,-11.73,-1.006,7.904,5.604,11.73,1.869,7.765,4.889,-23.46,64.516,-11.73
0.075,-1.15,7.664,5.7,-11.73,-1.054,7.951,5.604,11.73,1.582,7.765,5.033,-23.46,64.516,-11.73
0.08,-1.293,7.616,5.556,-11.73,-1.15,7.999,5.556,17.595,1.869,7.909,5.033,-23.46,64.516,-11.73
0.085,-1.341,7.616,5.461,-11.73,-1.198,7.904,5.413,17.595,1.869,7.909,4.889,-23.46,64.516,-11.73
0.09,-1.293,7.616,5.413,-11.73,-1.198,7.808,5.365,17.595,1.869,7.765,4.745,-17.595,64.516,-11.73
0.095,-1.341,7.712,5.269,-17.595,-1.198,7.856,5.221,17.595,1.869,7.621,4.602,-17.595,64.516,-11.73
0.1,-1.341,7.712,5.269,-17.595,-1.198,7.904,5.221,17.595,1.869,7.621,4.602,-17.595,64.516,-11.73
0.105,-1.245,7.76,5.317,-17.595,-1.198,8.047,5.269,17.595,1.869,7.909,4.602,-17.595,64.516,-11.73
0.11,-1.245,7.856,5.317,-11.73,-1.198,8.239,5.221,17.595,2.013,8.197,4.602,-17.595,64.516,-11.73
