Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,36,12020,,60.1,,17
R,37,12100,,60.5,,17
L,38,12208,,61.04,,17
R,39,12278,,61.39,,17
L,40,12398,,61.99,,17
R,41,12492,,62.46,,17
L,42,12586,,62.93,,17
R,43,12678,,63.39,,17
L,44,12774,,63.870000000000005,,17
R,45,12867,,64.33500000000001,,17
L,46,12963,,64.815,,17
R,47,13053,,65.265,,17
L,48,13139,,65.69500000000001,,17
R,49,13231,,66.155,,17
L,50,13328,,66.64,,17
R,51,13432,,67.16,,17
L,52,13514,,67.57000000000001,,17
R,53,13621,,68.105,,17
L,54,13719,,68.595,,17
R,55,13813,,69.065,,17
L,56,13908,,69.54,,17
R,57,13978,,69.89,,17
L,58,14097,,70.485,,17
R,59,14187,,70.935,,17
R,92,18961,,94.805,,24
L,93,19066,,95.33,,24
R,94,19165,,95.825,,24
L,95,19267,,96.33500000000001,,24
R,96,19363,,96.815,,24
L,97,19450,,97.25,,24
R,98,19556,,97.78,,24
L,99,19664,,98.32000000000001,,24
L,126,23254,,116.27,,28
R,127,23337,,116.685,,28
L,128,23437,,117.185,,28
R,129,23541,,117.705,,28
L,130,23642,,118.21000000000001,,28
R,131,23735,,118.675,,28
L,132,23836,,119.18,,28
R,133,23933,,119.665,,28
L,134,24039,,120.19500000000001,,28
R,135,24135,,120.675,,28
L,136,24237,,121.185,,28
L,165,28189,,140.945,,33
R,166,28285,,141.425,,33
L,167,28388,,141.94,,33
R,168,28472,,142.36,,33
L,169,28587,,142.935,,33
R,170,28687,,143.435,,33
L,171,28785,,143.925,,33
