time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,4.79,5.7,-6.419,-0.0,-4.646,5.988,6.946,-5.865,4.745,5.608,6.615,-5.865,35.191,5.865
0.005,4.886,5.796,-6.419,-0.0,-4.598,5.94,6.85,-5.865,4.889,5.752,6.615,-5.865,35.191,5.865
0.01,4.886,5.796,-6.419,-5.865,-4.598,5.892,6.802,-5.865,5.033,5.752,6.615,-5.865,35.191,5.865
0.015,4.838,5.844,-6.323,-5.865,-4.646,5.892,6.754,-5.865,4.889,5.752,6.615,-5.865,35.191,5.865
0.02,4.886,5.844,-6.275,-5.865,-4.598,5.892,6.706,-5.865,4.889,5.896,6.615,-5.865,35.191,5.865
0.025,4.838,5.796,-6.227,-5.865,-4.646,6.035,6.706,-5.865,5.033,5.896,6.471,-5.865,35.191,5.865
0.03,4.838,5.796,-6.179,-5.865,-4.79,6.179,6.706,-5.865,4.889,5.752,6.471,-5.865,35.191,5.865
0.035,5.03,5.988,-6.227,-5.865,-4.646,5.94,6.61,-5.865,5.033,5.896,6.471,-11.73,35.191,5.865
0.04,4.982,6.035,-6.227,-11.73,-4.646,5.844,6.514,-5.865,5.177,6.04,6.471,-11.73,35.191,11.73
0.045,4.79,5.844,-6.035,-11.73,-4.742,5.988,6.467,-5.865,4.889,5.896,6.327,-11.73,35.191,11.73
0.05,4.934,5.892,-5.94,-5.865,-4.694,6.035,6.467,-11.73,4.889,5.896,6.327,-11.73,29.326,11.73
0.055,5.03,5.988,-5.94,-11.73,-4.694,5.988,6.514,-11.73,5.033,6.04,6.183,-11.73,29.326,11.73
0.06,4.886,5.988,-5.988,-11.73,-4.646,5.988,6.371,-11.73,5.033,6.04,6.183,-11.73,29.326,11.73
