Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
R,16,12249,12347,61.245000000000005,61.735,2
L,14,12343,12449,61.715,62.245000000000005,2
R,17,12450,12546,62.25,62.730000000000004,2
L,15,12540,12643,62.7,63.215,2
R,18,12642,12730,63.21,63.65,2
L,16,12729,12828,63.645,64.14,2
R,19,12828,12918,64.14,64.59,2
L,17,12914,13017,64.57000000000001,65.08500000000001,2
R,20,13015,13106,65.075,65.53,2
L,18,13101,13201,65.505,66.005,2
R,21,13201,13291,66.005,66.455,2
L,19,13288,13386,66.44,66.93,2
R,22,13379,13472,66.895,67.36,2
L,20,13469,13574,67.345,67.87,2
R,23,13572,13663,67.86,68.315,2
L,21,13659,13758,68.295,68.79,2
R,24,13757,13849,68.785,69.245,2
L,22,13844,13944,69.22,69.72,2
R,25,13940,14036,69.7,70.18,2
L,23,14030,14135,70.15,70.675,2
R,26,14133,14227,70.665,71.135,2
L,24,14224,14327,71.12,71.635,2
R,31,16420,16506,82.10000000000001,82.53,3
L,29,16502,16605,82.51,83.025,3
R,32,16602,16698,83.01,83.49,3
L,30,16694,16791,83.47,83.955,3
R,33,16789,16880,83.94500000000001,84.4,3
L,31,16877,16977,84.385,84.885,3
R,34,16977,17068,84.885,85.34,3
L,32,17065,17163,85.325,85.815,3
R,35,17161,17253,85.805,86.265,3
L,33,17247,17344,86.235,86.72,3
R,36,17338,17433,86.69,87.165,3
L,34,17429,17529,87.145,87.645,3
R,37,17528,17620,87.64,88.10000000000001,3
L,35,17614,17718,88.07000000000001,88.59,3
R,38,17710,17807,88.55,89.035,3
L,36,17799,17903,88.995,89.515,3
R,39,17897,17994,89.485,89.97,3
L,37,17989,18091,89.94500000000001,90.455,3
R,40,18086,18181,90.43,90.905,3
L,38,18177,18279,90.885,91.395,3
R,41,18274,18373,91.37,91.865,3
L,39,18364,18472,91.82000000000001,92.36,3
R,42,18464,18577,92.32000000000001,92.885,3
L,44,20956,21051,104.78,105.255,4
R,47,21047,21139,105.235,105.69500000000001,4
L,45,21136,21230,105.68,106.15,4
R,48,21230,21322,106.15,106.61,4
L,46,21320,21418,106.60000000000001,107.09,4
R,49,21416,21512,107.08,107.56,4
L,47,21505,21605,107.525,108.025,4
R,50,21605,21701,108.025,108.505,4
L,48,21696,21799,108.48,108.995,4
R,51,21798,21895,108.99000000000001,109.47500000000001,4
L,49,21890,21989,109.45,109.94500000000001,4
R,52,21986,22080,109.93,110.4,4
L,50,22075,22171,110.375,110.855,4
R,53,22166,22264,110.83,111.32000000000001,4
L,51,22259,22356,111.295,111.78,4
R,54,22355,22453,111.775,112.265,4
L,52,22447,22546,112.235,112.73,4
R,55,22542,22639,112.71000000000001,113.19500000000001,4
L,53,22633,22737,113.165,113.685,4
R,56,22733,22834,113.665,114.17,4
L,54,22826,22931,114.13,114.655,4
R,57,22926,23028,114.63,115.14,4
R,61,25181,25274,125.905,126.37,5
L,60,25271,25367,126.355,126.83500000000001,5
R,62,25365,25458,126.825,127.29,5
L,61,25454,25550,127.27,127.75,5
R,63,25549,25645,127.745,128.225,5
L,62,25641,25739,128.205,128.695,5
R,64,25739,25833,128.695,129.165,5
L,63,25829,25927,129.145,129.635,5
R,65,25926,26021,129.63,130.105,5
L,64,26014,26111,130.07,130.555,5
R,66,26106,26198,130.53,130.99,5
L,65,26194,26297,130.97,131.485,5
R,67,26295,26396,131.475,131.98,5
L,66,26389,26489,131.945,132.445,5
R,68,26487,26588,132.435,132.94,5
L,67,26581,26679,132.905,133.395,5
R,69,26672,26768,133.36,133.84,5
L,68,26763,26866,133.815,134.33,5
R,70,26864,26962,134.32,134.81,5
L,69,26956,27054,134.78,135.27,5
R,71,27050,27152,135.25,135.76,5
