Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,8,16623,16773,83.115,83.865,1
R,12,16748,16898,83.74,84.49,1
L,9,16872,17015,84.36,85.075,1
R,13,16991,17138,84.955,85.69,1
L,10,17115,17249,85.575,86.245,1
R,14,17226,17388,86.13,86.94,1
L,11,17367,17490,86.83500000000001,87.45,1
R,15,17472,17622,87.36,88.11,1
L,12,17598,17733,87.99,88.665,1
R,16,17711,17844,88.555,89.22,1
L,13,17831,17985,89.155,89.925,1
R,17,17959,18120,89.795,90.60000000000001,1
L,14,18097,18208,90.485,91.04,1
R,18,18198,18343,90.99,91.715,1
L,15,18316,18466,91.58,92.33,1
R,19,18441,18596,92.205,92.98,1
L,16,18568,18707,92.84,93.535,1
R,20,18684,18842,93.42,94.21000000000001,1
L,17,18816,18952,94.08,94.76,1
R,21,18930,19086,94.65,95.43,1
L,18,19058,19198,95.29,95.99000000000001,1
R,22,19176,19341,95.88,96.705,1
L,19,19308,19449,96.54,97.245,1
R,23,19426,19567,97.13,97.83500000000001,1
L,20,19542,19688,97.71000000000001,98.44,1
R,24,19665,19813,98.325,99.065,1
L,21,19784,19925,98.92,99.625,1
R,25,19903,20051,99.515,100.255,1
L,22,20025,20160,100.125,100.8,1
R,26,20139,20298,100.69500000000001,101.49000000000001,1
L,23,20267,20406,101.33500000000001,102.03,1
R,27,20382,20532,101.91,102.66,1
L,24,20504,20653,102.52,103.265,1
R,28,20630,20783,103.15,103.915,1
L,25,20752,20898,103.76,104.49000000000001,1
R,29,20874,21031,104.37,105.155,1
L,26,21002,21155,105.01,105.775,1
R,35,23785,23925,118.925,119.625,2
L,31,23902,24049,119.51,120.245,2
R,36,24023,24182,120.11500000000001,120.91,2
L,32,24157,24297,120.785,121.485,2
R,37,24272,24422,121.36,122.11,2
L,33,24398,24538,121.99000000000001,122.69,2
R,38,24510,24661,122.55,123.305,2
L,34,24632,24780,123.16,123.9,2
R,39,24754,24903,123.77,124.515,2
L,35,24881,25024,124.405,125.12,2
R,40,24999,25138,124.995,125.69,2
L,36,25115,25259,125.575,126.295,2
R,41,25234,25377,126.17,126.885,2
L,37,25353,25496,126.765,127.48,2
R,42,25474,25615,127.37,128.075,2
L,38,25589,25734,127.94500000000001,128.67000000000002,2
R,43,25709,25853,128.54500000000002,129.26500000000001,2
L,39,25833,25970,129.165,129.85,2
R,44,25946,26090,129.73,130.45,2
L,40,26068,26212,130.34,131.06,2
R,45,26186,26330,130.93,131.65,2
L,41,26304,26450,131.52,132.25,2
R,46,26423,26570,132.115,132.85,2
L,42,26547,26684,132.735,133.42000000000002,2
R,47,26663,26800,133.315,134.0,2
L,43,26780,26925,133.9,134.625,2
R,48,26898,27051,134.49,135.255,2
L,44,27028,27160,135.14000000000001,135.8,2
R,49,27139,27283,135.695,136.415,2
L,45,27262,27401,136.31,137.005,2
R,50,27379,27520,136.895,137.6,2
L,46,27498,27637,137.49,138.185,2
R,51,27615,27767,138.07500000000002,138.835,2
L,47,27741,27884,138.705,139.42000000000002,2
R,52,27860,28013,139.3,140.065,2
L,48,27983,28115,139.915,140.57500000000002,2
R,53,28097,28264,140.485,141.32,2
L,49,28231,28376,141.155,141.88,2
R,58,31553,31711,157.76500000000001,158.555,3
L,54,31684,31832,158.42000000000002,159.16,3
R,59,31805,31950,159.025,159.75,3
L,55,31927,32080,159.635,160.4,3
R,60,32052,32212,160.26,161.06,3
L,56,32185,32341,160.925,161.705,3
R,61,32313,32477,161.565,162.385,3
L,57,32447,32591,162.235,162.955,3
R,62,32567,32723,162.835,163.615,3
L,58,32696,32839,163.48,164.195,3
R,63,32816,32975,164.08,164.875,3
L,59,32947,33096,164.735,165.48,3
R,64,33069,33228,165.345,166.14000000000001,3
L,60,33206,33341,166.03,166.705,3
R,65,33321,33479,166.605,167.395,3
L,61,33454,33599,167.27,167.995,3
R,66,33574,33735,167.87,168.675,3
L,62,33707,33846,168.535,169.23,3
R,67,33823,33985,169.115,169.925,3
L,63,33956,34086,169.78,170.43,3
R,68,34066,34226,170.33,171.13,3
L,64,34201,34345,171.005,171.725,3
R,69,34319,34471,171.595,172.355,3
L,65,34449,34589,172.245,172.945,3
R,70,34565,34721,172.82500000000002,173.605,3
L,66,34698,34839,173.49,174.195,3
R,71,34812,34958,174.06,174.79,3
L,67,34937,35081,174.685,175.405,3
R,72,35057,35209,175.285,176.04500000000002,3
L,68,35186,35328,175.93,176.64000000000001,3
R,73,35304,35452,176.52,177.26,3
L,69,35429,35574,177.145,177.87,3
R,74,35550,35717,177.75,178.585,3
L,70,35688,35829,178.44,179.145,3
R,75,35809,35967,179.04500000000002,179.835,3
L,71,35941,36090,179.705,180.45000000000002,3
R,76,36067,36219,180.335,181.095,3
