Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,14,11259,11367,56.295,56.835,1
R,11,11365,11469,56.825,57.345,1
L,15,11458,11568,57.29,57.84,1
R,12,11553,11672,57.765,58.36,1
L,16,11659,11772,58.295,58.86,1
R,13,11770,11874,58.85,59.370000000000005,1
L,17,11864,11974,59.32,59.870000000000005,1
R,14,11959,12076,59.795,60.38,1
L,18,12064,12178,60.32,60.89,1
R,15,12163,12279,60.815,61.395,1
L,19,12266,12381,61.33,61.905,1
R,16,12377,12479,61.885,62.395,1
L,20,12469,12581,62.345,62.905,1
R,17,12578,12683,62.89,63.415,1
L,21,12671,12785,63.355000000000004,63.925000000000004,1
R,18,12784,12887,63.92,64.435,1
L,22,12876,12992,64.38,64.96000000000001,1
R,19,12974,13087,64.87,65.435,1
L,23,13080,13195,65.4,65.975,1
R,20,13177,13299,65.885,66.495,1
L,24,13288,13404,66.44,67.02,1
R,21,13387,13507,66.935,67.535,1
L,25,13493,13610,67.465,68.05,1
R,22,13608,13715,68.04,68.575,1
L,30,15697,15804,78.485,79.02,2
R,27,15801,15904,79.005,79.52,2
L,31,15891,16000,79.455,80.0,2
R,28,15999,16099,79.995,80.495,2
L,32,16089,16196,80.44500000000001,80.98,2
R,29,16196,16298,80.98,81.49,2
L,33,16287,16395,81.435,81.97500000000001,2
R,30,16393,16493,81.965,82.465,2
L,34,16482,16590,82.41,82.95,2
R,31,16576,16687,82.88,83.435,2
L,35,16677,16786,83.385,83.93,2
R,32,16784,16888,83.92,84.44,2
L,36,16875,16983,84.375,84.915,2
R,33,16981,17081,84.905,85.405,2
L,37,17070,17176,85.35000000000001,85.88,2
R,34,17175,17275,85.875,86.375,2
L,38,17264,17376,86.32000000000001,86.88,2
R,35,17359,17478,86.795,87.39,2
L,39,17468,17581,87.34,87.905,2
R,36,17564,17681,87.82000000000001,88.405,2
L,40,17670,17778,88.35000000000001,88.89,2
R,37,17775,17878,88.875,89.39,2
L,41,17865,17980,89.325,89.9,2
L,45,19916,20024,99.58,100.12,3
R,44,20021,20124,100.105,100.62,3
L,46,20116,20222,100.58,101.11,3
R,45,20220,20323,101.10000000000001,101.61500000000001,3
L,47,20314,20420,101.57000000000001,102.10000000000001,3
R,46,20420,20521,102.10000000000001,102.605,3
L,48,20511,20620,102.555,103.10000000000001,3
R,47,20604,20720,103.02,103.60000000000001,3
L,49,20712,20819,103.56,104.095,3
R,48,20816,20918,104.08,104.59,3
L,50,20909,21016,104.545,105.08,3
R,49,21015,21117,105.075,105.58500000000001,3
L,51,21105,21216,105.525,106.08,3
R,50,21213,21314,106.065,106.57000000000001,3
L,52,21303,21409,106.515,107.045,3
R,51,21407,21506,107.035,107.53,3
L,53,21496,21603,107.48,108.015,3
R,52,21602,21700,108.01,108.5,3
L,54,21687,21797,108.435,108.985,3
R,53,21782,21896,108.91,109.48,3
L,55,21888,21995,109.44,109.97500000000001,3
R,54,21982,22092,109.91,110.46000000000001,3
L,56,22085,22192,110.425,110.96000000000001,3
L,60,23799,23904,118.995,119.52,4
R,60,23903,24003,119.515,120.015,4
L,61,23992,24098,119.96000000000001,120.49000000000001,4
R,61,24098,24200,120.49000000000001,121.0,4
L,62,24190,24298,120.95,121.49000000000001,4
R,62,24296,24396,121.48,121.98,4
L,63,24389,24492,121.94500000000001,122.46000000000001,4
R,63,24492,24591,122.46000000000001,122.955,4
L,64,24584,24688,122.92,123.44,4
R,64,24687,24784,123.435,123.92,4
L,65,24777,24883,123.885,124.415,4
R,65,24868,24984,124.34,124.92,4
L,66,24974,25080,124.87,125.4,4
R,66,25079,25182,125.395,125.91,4
L,67,25172,25278,125.86,126.39,4
R,67,25277,25381,126.385,126.905,4
L,68,25371,25478,126.855,127.39,4
R,68,25477,25576,127.385,127.88000000000001,4
L,69,25566,25671,127.83,128.355,4
R,69,25671,25767,128.355,128.835,4
L,70,25755,25863,128.775,129.315,4
R,70,25861,25963,129.305,129.815,4
L,71,25949,26062,129.745,130.31,4
