Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,37,11453,,57.265,,16
R,38,11555,,57.775,,16
L,39,11657,,58.285000000000004,,16
R,40,11759,,58.795,,16
L,41,11859,,59.295,,16
R,42,11961,,59.805,,16
L,43,12061,,60.305,,16
R,44,12165,,60.825,,16
L,45,12263,,61.315,,16
R,46,12367,,61.835,,16
L,47,12466,,62.33,,16
R,48,12567,,62.835,,16
L,49,12669,,63.345,,16
R,50,12772,,63.86,,16
L,51,12871,,64.355,,16
R,52,12977,,64.885,,16
L,53,13078,,65.39,,16
R,54,13181,,65.905,,16
L,55,13285,,66.425,,16
R,56,13390,,66.95,,16
L,57,13491,,67.455,,16
L,71,15890,,79.45,,17
R,72,15988,,79.94,,17
L,73,16087,,80.435,,17
R,74,16185,,80.925,,17
L,75,16284,,81.42,,17
R,76,16383,,81.915,,17
L,77,16481,,82.405,,17
R,78,16577,,82.885,,17
L,79,16674,,83.37,,17
R,80,16773,,83.865,,17
L,81,16873,,84.365,,17
R,82,16970,,84.85000000000001,,17
L,83,17068,,85.34,,17
R,84,17164,,85.82000000000001,,17
L,85,17262,,86.31,,17
R,86,17362,,86.81,,17
L,87,17465,,87.325,,17
L,106,20112,,100.56,,22
R,107,20210,,101.05,,22
L,108,20310,,101.55,,22
R,109,20409,,102.045,,22
L,110,20508,,102.54,,22
R,111,20607,,103.035,,22
L,112,20707,,103.535,,22
R,113,20806,,104.03,,22
L,114,20904,,104.52,,22
R,115,21004,,105.02,,22
L,116,21103,,105.515,,22
R,117,21203,,106.015,,22
L,118,21301,,106.505,,22
R,119,21397,,106.985,,22
L,120,21493,,107.465,,22
R,121,21591,,107.955,,22
L,122,21686,,108.43,,22
R,123,21784,,108.92,,22
L,124,21883,,109.415,,22
L,140,23989,,119.94500000000001,,24
R,141,24086,,120.43,,24
L,142,24186,,120.93,,24
R,143,24286,,121.43,,24
L,144,24382,,121.91,,24
R,145,24480,,122.4,,24
L,146,24578,,122.89,,24
R,147,24675,,123.375,,24
L,148,24771,,123.855,,24
R,149,24870,,124.35000000000001,,24
L,150,24970,,124.85000000000001,,24
R,151,25067,,125.33500000000001,,24
L,152,25168,,125.84,,24
R,153,25266,,126.33,,24
L,154,25367,,126.83500000000001,,24
R,155,25466,,127.33,,24
L,156,25563,,127.815,,24
R,157,25659,,128.29500000000002,,24
L,158,25754,,128.77,,24
R,159,25851,,129.255,,24
