time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,-4.024,3.688,9.341,-11.73,4.455,3.305,-9.053,-11.73,-4.026,4.17,-9.203,58.651,17.595,17.595
0.005,-3.976,3.545,9.388,-11.73,4.455,3.209,-9.053,-11.73,-4.026,4.026,-9.347,52.786,17.595,17.595
0.01,-3.928,3.449,9.388,-11.73,4.455,3.114,-9.005,-11.73,-3.883,3.883,-9.347,46.921,23.46,11.73
0.015,-3.928,3.257,9.388,-11.73,4.311,3.066,-8.957,-11.73,-3.883,3.739,-9.347,46.921,23.46,11.73
0.02,-3.832,3.114,9.293,-11.73,4.215,3.066,-8.766,-11.73,-3.883,3.451,-9.347,41.056,23.46,11.73
0.025,-3.736,2.97,9.149,-11.73,4.167,2.97,-8.574,-17.595,-3.739,3.164,-9.203,41.056,23.46,17.595
0.03,-3.688,2.826,8.957,-17.595,4.024,2.874,-8.478,-17.595,-3.595,3.02,-9.059,41.056,23.46,17.595
0.035,-3.593,2.73,8.814,-17.595,4.024,2.922,-8.335,-17.595,-3.595,2.876,-8.916,41.056,23.46,17.595
0.04,-3.497,2.635,8.67,-17.595,3.976,2.874,-8.191,-17.595,-3.451,2.588,-8.772,41.056,23.46,23.46
0.045,-3.401,2.491,8.574,-23.46,3.832,2.778,-8.095,-23.46,-3.307,2.445,-8.628,41.056,29.326,23.46
0.05,-3.353,2.395,8.478,-23.46,3.832,2.682,-8.047,-29.326,-3.307,2.301,-8.484,46.921,29.326,23.46
0.055,-3.305,2.347,8.43,-29.326,3.832,2.682,-7.999,-29.326,-3.164,2.157,-8.34,46.921,29.326,29.326
0.06,-3.305,2.347,8.383,-29.326,3.784,2.73,-7.951,-35.191,-3.164,2.157,-8.34,52.786,29.326,35.191
0.065,-3.305,2.491,8.335,-35.191,3.784,2.826,-7.951,-41.056,-3.164,2.301,-8.34,58.651,35.191,35.191
0.07,-3.305,2.73,8.287,-41.056,3.736,2.97,-7.904,-41.056,-3.307,2.588,-8.197,58.651,35.191,41.056
0.075,-3.353,2.97,8.287,-41.056,3.832,3.161,-7.951,-46.921,-3.307,2.876,-8.197,64.516,35.191,41.056
0.08,-3.401,3.257,8.335,-41.056,3.88,3.305,-7.951,-46.921,-3.307,3.307,-8.197,64.516,35.191,46.921
0.085,-3.497,3.545,8.335,-46.921,3.976,3.497,-7.999,-46.921,-3.451,3.739,-8.197,64.516,35.191,46.921
0.09,-3.545,3.832,8.383,-46.921,3.976,3.688,-8.095,-46.921,-3.595,4.026,-8.34,64.516,35.191,46.921
0.095,-3.593,4.024,8.43,-46.921,4.024,3.784,-8.047,-46.921,-3.595,4.458,-8.34,58.651,35.191,46.921
