Leg,Cycle,IC_Index,FO_Index,IC_Time,FO_Time,Trial_ID
L,43,9411,,47.055,,8
R,44,9502,,47.51,,8
L,45,9600,,48.0,,8
R,46,9678,,48.39,,8
L,47,9788,,48.94,,8
R,48,9867,,49.335,,8
L,49,9971,,49.855000000000004,,8
R,50,10062,,50.31,,8
L,51,10162,,50.81,,8
R,52,10240,,51.2,,8
L,53,10345,,51.725,,8
R,54,10432,,52.160000000000004,,8
L,55,10531,,52.655,,8
R,56,10620,,53.1,,8
L,57,10717,,53.585,,8
R,58,10808,,54.04,,8
L,59,10905,,54.525,,8
R,60,10993,,54.965,,8
L,61,11093,,55.465,,8
R,62,11180,,55.9,,8
L,63,11273,,56.365,,8
R,64,11360,,56.800000000000004,,8
L,65,11461,,57.305,,8
R,66,11539,,57.695,,8
L,67,11643,,58.215,,8
R,68,11719,,58.595,,8
L,69,11829,,59.145,,8
R,70,11914,,59.57,,8
L,71,12000,,60.0,,8
R,72,12099,,60.495000000000005,,8
L,73,12197,,60.985,,8
R,74,12287,,61.435,,8
L,75,12388,,61.940000000000005,,8
L,97,15121,,75.605,,10
R,98,15213,,76.065,,10
L,99,15314,,76.57000000000001,,10
R,100,15405,,77.025,,10
L,101,15510,,77.55,,10
R,102,15597,,77.985,,10
R,103,15691,,78.455,,10
R,104,15780,,78.9,,10
L,105,15878,,79.39,,10
R,106,15969,,79.845,,10
R,107,16066,,80.33,,10
L,108,16154,,80.77,,10
R,109,16251,,81.255,,10
L,110,16338,,81.69,,10
R,111,16438,,82.19,,10
L,112,16530,,82.65,,10
R,113,16631,,83.155,,10
R,114,16719,,83.595,,10
L,115,16815,,84.075,,10
R,116,16904,,84.52,,10
L,117,17002,,85.01,,10
R,118,17091,,85.455,,10
R,119,17191,,85.955,,10
L,120,17282,,86.41,,10
R,121,17381,,86.905,,10
L,122,17473,,87.365,,10
R,123,17574,,87.87,,10
L,124,17663,,88.315,,10
R,125,17769,,88.845,,10
L,126,17859,,89.295,,10
R,127,17958,,89.79,,10
L,145,20529,,102.645,,13
R,146,20630,,103.15,,13
L,147,20720,,103.60000000000001,,13
R,148,20815,,104.075,,13
L,149,20907,,104.535,,13
R,150,21007,,105.035,,13
L,151,21096,,105.48,,13
R,152,21191,,105.955,,13
L,153,21280,,106.4,,13
R,154,21378,,106.89,,13
L,155,21465,,107.325,,13
R,156,21562,,107.81,,13
L,157,21650,,108.25,,13
R,158,21751,,108.755,,13
L,159,21841,,109.205,,13
R,160,21937,,109.685,,13
L,161,22024,,110.12,,13
R,162,22122,,110.61,,13
L,163,22211,,111.055,,13
R,164,22310,,111.55,,13
L,165,22401,,112.005,,13
R,166,22500,,112.5,,13
L,167,22590,,112.95,,13
R,168,22690,,113.45,,13
L,169,22780,,113.9,,13
R,170,22878,,114.39,,13
L,171,22967,,114.83500000000001,,13
R,172,23065,,115.325,,13
R,173,23154,,115.77,,13
L,174,23254,,116.27,,13
L,193,25641,,128.205,,16
R,194,25730,,128.65,,16
L,195,25830,,129.15,,16
R,196,25923,,129.615,,16
L,197,26025,,130.125,,16
R,198,26113,,130.565,,16
L,199,26211,,131.055,,16
R,200,26302,,131.51,,16
L,201,26401,,132.005,,16
R,202,26488,,132.44,,16
L,203,26590,,132.95,,16
R,204,26680,,133.4,,16
L,205,26778,,133.89000000000001,,16
R,206,26868,,134.34,,16
L,207,26967,,134.835,,16
R,208,27058,,135.29,,16
L,209,27157,,135.785,,16
R,210,27247,,136.235,,16
L,211,27346,,136.73,,16
R,212,27438,,137.19,,16
L,213,27538,,137.69,,16
R,214,27627,,138.135,,16
L,215,27727,,138.635,,16
R,216,27816,,139.08,,16
L,217,27917,,139.585,,16
R,218,28007,,140.035,,16
L,219,28108,,140.54,,16
R,220,28198,,140.99,,16
L,221,28296,,141.48,,16
