time_aligned_sec,L_Acc_X_aligned,L_Acc_Y_aligned,L_Acc_Z_aligned,L_Gyro_Z_aligned,R_Acc_X_aligned,R_Acc_Y_aligned,R_Acc_Z_aligned,R_Gyro_Z_aligned,T_Acc_X_aligned,T_Acc_Y_aligned,T_Acc_Z_aligned,T_Gyro_X_aligned,T_Gyro_Y_aligned,T_Gyro_Z_aligned
0.0,0.766,7.904,-5.94,23.46,-0.719,7.664,5.844,0.0,-0.719,8.34,-6.183,29.326,-5.865,-5.865
0.005,0.383,8.957,-5.94,17.595,-0.814,7.616,5.892,0.0,-0.575,7.19,-6.04,23.46,-5.865,-5.865
0.01,0.479,8.335,-5.269,11.73,-0.671,7.52,5.796,-5.865,-0.288,8.197,-5.752,29.326,-5.865,-5.865
0.015,0.383,7.568,-5.556,5.865,-0.144,7.904,5.7,0.0,-0.288,9.059,-6.183,29.326,0.0,0.0
0.02,0.192,8.143,-6.035,-0.0,0.144,8.574,5.796,0.0,-0.144,9.635,-6.04,29.326,0.0,0.0
0.025,1.054,8.335,-6.706,-11.73,-0.814,8.191,6.946,5.865,-0.288,7.478,-6.902,29.326,0.0,5.865
0.03,1.772,10.73,-2.874,-23.46,-0.192,8.095,6.658,17.595,0.288,14.668,-5.321,41.056,-5.865,17.595
0.035,-1.437,5.269,-5.556,-29.326,0.048,11.017,6.371,17.595,-0.575,10.641,-6.759,29.326,5.865,17.595
0.04,0.575,7.808,-5.892,-0.0,-0.766,9.388,5.748,11.73,-0.863,8.916,-6.183,5.865,0.0,11.73
0.045,0.144,8.43,-5.844,11.73,-0.479,8.814,5.844,11.73,-0.431,9.059,-6.183,5.865,0.0,11.73
0.05,0.192,8.478,-5.988,17.595,-0.24,8.526,6.275,17.595,-0.431,8.772,-6.471,5.865,5.865,17.595
0.055,0.383,8.43,-6.419,17.595,-1.15,7.664,6.754,17.595,-1.007,8.197,-6.902,5.865,5.865,11.73
0.06,0.671,8.335,-6.275,17.595,-1.15,7.616,6.658,17.595,-1.007,8.197,-6.615,0.0,5.865,17.595
0.065,0.383,8.335,-5.892,17.595,-0.958,8.143,6.323,17.595,-0.863,8.484,-6.471,-5.865,11.73,17.595
0.07,0.431,8.478,-6.035,17.595,-0.766,7.712,6.61,17.595,-0.719,8.34,-6.759,-5.865,17.595,17.595
0.075,0.383,8.478,-6.419,11.73,-0.575,7.089,7.089,17.595,-0.719,8.053,-7.334,-17.595,17.595,11.73
0.08,0.431,8.239,-7.041,11.73,-0.623,6.85,7.52,11.73,-0.575,7.765,-7.621,-23.46,17.595,11.73
0.085,0.287,7.76,-6.61,5.865,-0.671,7.472,6.993,11.73,-0.575,7.909,-6.759,-35.191,17.595,5.865
0.09,0.24,7.52,-5.892,11.73,-0.431,7.951,6.275,11.73,-0.431,7.909,-6.183,-41.056,23.46,11.73
0.095,0.144,7.329,-5.652,11.73,-0.24,8.095,6.035,17.595,-0.288,7.765,-6.04,-41.056,23.46,17.595
0.1,0.048,6.993,-5.556,17.595,-0.287,8.143,5.94,17.595,-0.288,7.765,-5.896,-35.191,23.46,17.595
0.105,0.0,6.946,-5.413,17.595,-0.048,8.239,5.844,23.46,-0.144,7.765,-5.752,-29.326,23.46,17.595
0.11,0.0,6.946,-5.317,23.46,0.048,8.143,5.7,23.46,-0.144,7.765,-5.752,-23.46,23.46,23.46
0.115,0.0,6.658,-5.317,23.46,0.0,8.191,5.7,23.46,-0.144,7.621,-5.608,-17.595,23.46,23.46
0.12,0.096,6.562,-5.269,29.326,-0.144,8.047,5.652,29.326,-0.288,7.478,-5.608,-5.865,23.46,29.326
0.125,0.048,6.85,-5.173,35.191,-0.144,7.904,5.556,29.326,-0.144,7.621,-5.608,5.865,23.46,29.326
0.13,0.048,7.329,-5.173,35.191,-0.048,7.951,5.604,35.191,-0.144,7.909,-5.608,5.865,23.46,35.191
0.135,0.048,7.76,-5.269,35.191,-0.144,8.047,5.7,41.056,-0.288,8.197,-5.752,5.865,23.46,35.191
0.14,0.0,8.047,-5.413,35.191,-0.24,8.191,5.796,41.056,-0.288,8.34,-5.896,17.595,23.46,35.191
0.145,0.0,8.239,-5.413,41.056,-0.383,8.191,5.844,41.056,-0.431,8.484,-5.896,17.595,23.46,35.191
0.15,0.048,8.43,-5.365,35.191,-0.335,8.191,5.796,41.056,-0.288,8.484,-5.896,17.595,23.46,35.191
0.155,0.0,8.383,-5.269,35.191,-0.24,8.191,5.7,35.191,-0.288,8.484,-5.752,5.865,29.326,35.191
0.16,0.048,8.335,-5.221,35.191,-0.192,8.191,5.652,35.191,-0.288,8.484,-5.752,5.865,29.326,29.326
0.165,0.0,8.287,-5.173,35.191,-0.048,8.239,5.604,35.191,-0.144,8.484,-5.608,5.865,29.326,29.326
0.17,0.0,8.239,-5.125,29.326,0.0,8.287,5.556,29.326,-0.144,8.484,-5.608,5.865,29.326,29.326
0.17500000000000002,-0.048,8.143,-5.077,29.326,0.048,8.383,5.509,29.326,-0.144,8.484,-5.464,5.865,29.326,29.326
0.18,-0.048,8.095,-5.077,35.191,0.048,8.383,5.509,35.191,-0.144,8.484,-5.464,5.865,29.326,29.326
0.185,0.0,8.191,-5.077,35.191,0.0,8.335,5.509,35.191,-0.144,8.484,-5.608,5.865,29.326,29.326
0.19,0.048,8.287,-5.125,35.191,-0.048,8.287,5.604,35.191,-0.144,8.484,-5.608,5.865,29.326,35.191
0.195,0.048,8.287,-5.221,35.191,0.0,8.335,5.7,35.191,-0.144,8.484,-5.752,5.865,29.326,35.191
0.2,0.0,8.383,-5.317,35.191,-0.144,8.287,5.748,35.191,-0.288,8.484,-5.752,5.865,29.326,35.191
0.20500000000000002,0.144,8.43,-5.413,35.191,-0.24,8.335,5.844,35.191,-0.431,8.628,-5.896,5.865,29.326,29.326
0.21,0.096,8.43,-5.461,35.191,-0.287,8.43,5.892,35.191,-0.431,8.628,-5.896,0.0,29.326,29.326
0.215,0.144,8.287,-5.461,29.326,-0.335,8.43,5.892,29.326,-0.431,8.628,-5.896,0.0,29.326,29.326
0.22,0.096,8.143,-5.461,29.326,-0.24,8.478,5.844,29.326,-0.288,8.484,-5.896,0.0,29.326,29.326
0.225,0.096,8.047,-5.413,29.326,-0.144,8.43,5.844,29.326,-0.288,8.484,-5.752,0.0,29.326,23.46
0.23,0.048,7.904,-5.317,23.46,-0.096,8.478,5.748,29.326,-0.288,8.34,-5.752,5.865,29.326,23.46
0.23500000000000001,0.096,7.712,-5.269,23.46,-0.192,8.526,5.7,23.46,-0.288,8.197,-5.608,5.865,29.326,23.46
0.24,0.192,7.52,-5.221,29.326,-0.287,8.478,5.652,23.46,-0.431,8.197,-5.608,5.865,29.326,23.46
0.245,0.24,7.425,-5.269,23.46,-0.287,8.335,5.7,29.326,-0.431,8.053,-5.752,17.595,29.326,23.46
0.25,0.24,7.568,-5.365,23.46,-0.24,8.191,5.844,23.46,-0.431,8.053,-5.896,23.46,29.326,23.46
0.255,0.24,7.712,-5.556,23.46,-0.24,8.143,5.988,29.326,-0.431,8.197,-6.04,29.326,29.326,23.46
0.26,0.287,7.856,-5.748,29.326,-0.287,8.143,6.227,29.326,-0.431,8.197,-6.183,29.326,29.326,23.46
0.265,0.287,8.047,-5.892,23.46,-0.431,8.239,6.371,29.326,-0.575,8.34,-6.471,29.326,29.326,23.46
0.27,0.335,8.287,-5.988,29.326,-0.575,8.383,6.467,29.326,-0.575,8.628,-6.471,29.326,29.326,23.46
0.275,0.335,8.383,-6.083,29.326,-0.575,8.526,6.562,29.326,-0.575,8.628,-6.615,29.326,29.326,23.46
0.28,0.335,8.43,-6.131,23.46,-0.527,8.622,6.562,23.46,-0.575,8.628,-6.615,29.326,29.326,23.46
0.28500000000000003,0.335,8.191,-6.083,23.46,-0.575,8.67,6.514,23.46,-0.575,8.628,-6.471,29.326,29.326,23.46
